Period(s),c3,c5,Dc3,rr,c1,c2,c9,c8,Dc1,Dc2,re,rt
PGA,-0.97558,-0.00174,-0.52745,0.232,-2.8548,0.7741,-0.03958,0.00586,2.5699,-0.4761,0.172,0.289
0.01,-1.02993,-0.00175,-0.50466,0.231,-2.8424,0.8052,-0.04135,0.00584,2.737,-0.5191,0.173,0.288
0.02,-1.08567,-0.00176,-0.48043,0.233,-2.8337,0.8383,-0.04325,0.00583,2.9087,-0.564,0.176,0.292
0.03,-1.15951,-0.00176,-0.4249,0.235,-2.8235,0.8838,-0.04595,0.00586,3.0735,-0.6227,0.178,0.295
0.05,-1.2864,-0.00178,-0.31239,0.241,-2.7358,0.9539,-0.05033,0.00621,3.2147,-0.7079,0.19,0.307
0.07,-1.34644,-0.00181,-0.17995,0.251,-2.6004,0.9808,-0.05225,0.00603,3.0851,-0.7425,0.213,0.329
0.1,-1.32353,-0.00182,-0.13208,0.255,-2.4891,0.9544,-0.0506,0.00571,2.8091,-0.7055,0.195,0.321
0.15,-1.17687,-0.00183,-0.26451,0.255,-2.6505,0.9232,-0.04879,0.0056,2.626,-0.627,0.16,0.302
0.2,-1.04508,-0.00182,-0.39105,0.268,-3.0096,0.9426,-0.05034,0.00573,2.6063,-0.5976,0.157,0.31
0.25,-0.94363,-0.00178,-0.34348,0.264,-3.3321,0.9578,-0.05143,0.00507,2.3654,-0.582,0.142,0.299
0.3,-0.84814,-0.00173,-0.36695,0.26,-3.5422,0.9441,-0.05052,0.00428,2.2017,-0.5412,0.141,0.296
0.4,-0.69278,-0.00166,-0.46301,0.263,-3.3985,0.7773,-0.03885,0.00308,1.6367,-0.3448,0.157,0.306
0.5,-0.57899,-0.00161,-0.54098,0.261,-2.8041,0.5069,-0.01973,0.00257,0.7621,-0.0617,0.152,0.302
0.75,-0.56887,-0.00158,-0.46266,0.252,-4.4588,0.8691,-0.04179,0.00135,2.1003,-0.4349,0.146,0.291
1,-0.53282,-0.00154,-0.42314,0.247,-5.3391,1.0167,-0.04999,0.00045,2.561,-0.5678,0.153,0.29
1.5,-0.46263,-0.00145,-0.58519,0.246,-6.1204,1.1005,-0.05426,0.00068,2.8923,-0.5898,0.152,0.289
2,-0.40594,-0.00139,-0.65999,0.245,-7.0334,1.2501,-0.06356,0.00051,3.3941,-0.7009,0.157,0.291
3,-0.33957,-0.00137,-0.79004,0.231,-8.2507,1.4652,-0.07797,0.00066,4.0033,-0.8465,0.155,0.279
4,-0.26479,-0.00137,-0.86545,0.228,-8.7433,1.4827,-0.07863,0.00063,3.9337,-0.8134,0.16,0.279
5,-0.22333,-0.00137,-0.88735,0.232,-8.9927,1.463,-0.07638,0.00067,3.7576,-0.7642,0.167,0.286
7.5,-0.30346,-0.00131,-0.91259,0.231,-9.8245,1.6383,-0.0862,0.00108,4.3948,-0.9313,0.164,0.283
10,-0.33771,-0.00117,-0.96363,0.204,-9.8671,1.5877,-0.08168,0.00014,4.3875,-0.8892,0.176,0.27
