Period,sI,sII,sIII,sIV,sV,sVI
PGA,0,-0.584,-0.322,-0.109,-0.095,-0.212
0.01,0,-0.523,-0.262,-0.1,-0.092,-0.193
0.02,0,-0.459,-0.208,-0.092,-0.089,-0.177
0.03,0,-0.39,-0.16,-0.085,-0.088,-0.164
0.05,0,-0.306,-0.088,-0.075,-0.09,-0.146
0.07,0,-0.351,-0.056,-0.069,-0.096,-0.141
0.1,0,-0.524,-0.087,-0.07,-0.113,-0.156
0.15,0,-0.691,-0.336,-0.095,-0.166,-0.245
0.2,0,-0.671,-0.547,-0.127,-0.209,-0.359
0.25,0,-0.584,-0.674,-0.178,-0.235,-0.444
0.3,0,-0.506,-0.73,-0.258,-0.234,-0.491
0.4,0,-0.386,-0.718,-0.423,-0.164,-0.535
0.5,0,-0.3,-0.635,-0.537,-0.11,-0.557
0.75,0,-0.276,-0.395,-0.575,-0.358,-0.599
1,0,-0.275,-0.254,-0.462,-0.67,-0.584
1.5,0,-0.249,-0.238,-0.3,-0.801,-0.522
2,0,-0.218,-0.231,-0.22,-0.746,-0.479
3,0,-0.18,-0.219,-0.21,-0.628,-0.461
4,0,-0.171,-0.218,-0.212,-0.531,-0.448
5,0,-0.168,-0.218,-0.203,-0.438,-0.439
7.5,0,-0.168,-0.218,-0.153,-0.256,-0.435
10,0,-0.168,-0.218,-0.125,-0.231,-0.435
